Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100u,CP_Elec_6.3x5.4,83.185,-120.523,270.0,bottom
C2,10u,CP_Elec_5x5.4,124.079,-89.789,90.0,bottom
C3,10u,CP_Elec_5x5.4,117.094,-89.789,90.0,bottom
C4,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.713,-95.9855,90.0,bottom
C5,100n,C_Rect_L7.0mm_W2.5mm_P5.00mm,126.238,-104.902,180.0,bottom
C6,1u,C_Rect_L7.0mm_W4.5mm_P5.00mm,91.948,-108.712,0.0,bottom
C7,2u2,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,110.236,-99.568,0.0,bottom
C8,2u2,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,83.145,-110.109,0.0,bottom
C9,2u2,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,71.628,-93.98,0.0,bottom
C10,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,74.93,-100.1025,270.0,bottom
C11,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.567,-93.853,90.0,bottom
C12,2u2,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,91.948,-116.713,180.0,bottom
C13,2u2,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,110.236,-89.916,0.0,bottom
C14,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,136.779,-96.012,270.0,bottom
C15,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,88.773,-97.79,90.0,bottom
C16,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.952,-128.397,270.0,bottom
C17,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,69.215,-114.554,270.0,bottom
C18,2u2,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,135.001,-122.301,0.0,bottom
C19,2u2,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,126.251,-122.301,0.0,bottom
C20,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,73.406,-131.3415,270.0,bottom
C21,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,98.36,-114.7075,270.0,bottom
C22,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.627,-114.3,270.0,bottom
C23,1u,C_Rect_L7.0mm_W2.5mm_P5.00mm,135.001,-115.443,180.0,bottom
C24,1u,C_Rect_L7.0mm_W2.5mm_P5.00mm,126.198,-115.443,180.0,bottom
D1,1N4148,D_SOD-323_HandSoldering,76.2,-120.396,0.0,bottom
D2,D,D_A-405_P7.62mm_Horizontal,115.443,-109.22,270.0,bottom
D3,D,D_A-405_P7.62mm_Horizontal,115.443,-120.269,270.0,bottom
D4,D,D_A-405_P7.62mm_Horizontal,120.142,-109.22,90.0,bottom
D5,D,D_A-405_P7.62mm_Horizontal,120.142,-120.269,90.0,bottom
D6,LED,LED_D5.0mm,131.275,-130.05,180.0,top
D7,LED,LED_D5.0mm,69.275,-130.05,0.0,top
D8,LED,LED_D5.0mm,100.0,-75.35,0.0,top
J1,908140508,CONN_SDA-90814_08_MOL,100.0,-128.5,180.0,bottom
J2,FLIP,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,82.042,-129.54,180.0,bottom
J3,RPT,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,117.856,-129.54,180.0,bottom
Q1,MMFTP3401,SOT-23,76.073,-124.46,270.0,bottom
Q2,MMBT3904,SOT-23,136.906,-128.778,270.0,bottom
Q3,MMBT3904,SOT-23,63.119,-131.826,270.0,bottom
Q4,MMBT3904,SOT-23,100.203,-81.407,90.0,bottom
R1,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.39,-124.333,90.0,bottom
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,122.174,-96.012,90.0,bottom
